ticket_id,ai_suggested_reason,ai_theme,ai_confidence,ai_evidence_quote,ai_model,ai_run_id
TK-240003,WTY-BUYBACK,hardware_fault,n/a (rules),What is the status of my warranty claim. I HAVE CALLED SER,rules-baseline-v2,rules:message
TK-240009,CANCEL,customer_cancellation,n/a (rules),1. Order cancellation 2. Cancelled before disp,rules-baseline-v2,rules:note
TK-240015,RETURN-QC-OK,return_qc,n/a (rules),issue: rfnd not credited | chk reverse pkp qc sta,rules-baseline-v2,rules:note
TK-240016,WTY-BUYBACK,connectivity_firmware,n/a (rules),n november 28. the sound stutters whenever my phone is in,rules-baseline-v2,rules:message
TK-240023,WTY-BUYBACK,hardware_fault,n/a (rules),re: warranty claim status | checked r,rules-baseline-v2,rules:note
TK-240026,CANCEL,customer_cancellation,n/a (rules),1. cancellation request 2. cancelled before disp,rules-baseline-v2,rules:note
TK-240028,RETURN-QC-OK,return_qc,n/a (rules),drer VR888855 (pulse 1). nobody came for the pickup. I already called courie,rules-baseline-v2,rules:message
TK-240031,DUP-PAYMENT,payment_failure,n/a (rules),1. duplicate payment 2. checked pg for duplic,rules-baseline-v2,rules:note
TK-240046,WTY-BUYBACK,hardware_fault,n/a (rules),re: case no led / no charge | checked fo,rules-baseline-v2,rules:note
TK-240050,RETURN-QC-OK,return_qc,n/a (rules),issue: refund pending | checked reverse pickup,rules-baseline-v2,rules:note
TK-240060,DUP-PAYMENT,payment_failure,n/a (rules),ticket raised for amount deducted without ord. chk pg dashboard for tx,rules-baseline-v2,rules:note
TK-240061,RETURN-QC-OK,return_qc,n/a (rules),tiated to source. issue: rfnd pending. chk reverse pickup qc s,rules-baseline-v2,rules:note
TK-240069,DUP-PAYMENT,payment_failure,n/a (rules),Contact re amount deducted without ord. Asked for UTR. rfnd of,rules-baseline-v2,rules:note
TK-240089,CANCEL,customer_cancellation,n/a (rules),"cancelled, refund initiated. issue: cancellation req",rules-baseline-v2,rules:note
