ticket_id,created_at,first_response_at,resolved_at,status,channel,customer_id,order_id,product_sku,category,priority,assigned_team,agent_id,transfers,csat_score,refund_amount_inr,refund_reason_code,replacement_issued,customer_message,agent_notes,source_system
TK-240001,2025-01-01 09:17,2025-01-01 09:20,2025-01-02 09:37,resolved,chat,C103445,VR894176,VA-EB-AIR,Returns & Refunds,High,Returns Desk,A3038,0,5,,,N,"sir ji
pickup scheduled but no one showed up
kal se
aiirlite VR894176","1. Pickup missed
2. Checked pickup AWB
3. rfnd processed without pickup as goodwill",legacy_fd
TK-240002,2025-01-01 09:45,2025-01-01 10:18,2025-01-01 10:30,resolved,voice,C108122,VR897663,VA-SW-FIT,Account & Login,High,Voice Frontline,A3023,0,3,,,N,Really frustrating. Order VR897663 (my Nexa Fit band). cannot login to my account. I already tried 5 times. Fix this or I am posting on twitter.,"reported: unable to log in. chk otp logs. number updated, rslvd. -RG",helpdesk
TK-240002,2025-01-01 09:45,2025-01-01 10:18,2025-01-01 10:30,resolved,voice,C108122,VR897663,VA-SW-FIT,Account & Login,High,Voice Frontline,A3023,0,3,,,N,Really frustrating. Order VR897663 (my Nexa Fit band). cannot login to my account. I already tried 5 times. Fix this or I am posting on twitter.,"reported: unable to log in. chk otp logs. number updated, rslvd. -RG",legacy_fd
TK-240003,2025-01-01 19:04,2025-01-01 21:26,2025-01-04 02:53,resolved,email,C102158,VR886967,VA-HP-ST2,Warranty & Repair,High,Escalations & Warranty,A3040,0,4,900,GW-OTHER,N,"Dear Sir/Madam,

I am writing with reference to my order of Strata 2 (VR886967) placed on October 21. What is the status of my warranty claim. I HAVE CALLED SERVICE CENTRE. I request you to look into this matter at the earliest.

Regards,
Aishwarya Bhatia
Bengaluru",cx ok,helpdesk
TK-240003,2025-01-01 19:04,2025-01-01 21:26,2025-01-04 02:53,resolved,email,C102158,VR886967,VA-HP-ST2,Warranty & Repair,High,Escalations & Warranty,A3040,0,4,90000,GW-OTHER,N,"Dear Sir/Madam,

I am writing with reference to my order of Strata 2 (VR886967) placed on October 21. What is the status of my warranty claim. I HAVE CALLED SERVICE CENTRE. I request you to look into this matter at the earliest.

Regards,
Aishwarya Bhatia
Bengaluru",cx ok,legacy_fd
TK-240005,2025-01-01 19:17,2025-01-01 21:18,2025-01-04 21:42,resolved,email,C101768,,VA-NB-ARC,Delivery & Shipping,Normal,Logistics,A3030,0,2,,,Y,"Hi team,
I bought the neckband on 28/12.  Box was crushed and the the neckband is cracked.
I took photos.
Not what I expected from Vireo.
Need this sorted this week.
Please revert,","Ticket raised for damaged in transit. Photos received, damage confirmed. Replacement raised, RMA shared w/ cx. //AIS",helpdesk
TK-240005,2025-01-01 19:17,2025-01-01 21:18,2025-01-04 21:42,resolved,email,C101768,,VA-NB-ARC,Delivery & Shipping,Normal,Logistics,A3030,0,2,,,Y,"Hi team,
I bought the neckband on 28/12.  Box was crushed and the the neckband is cracked.
I took photos.
Not what I expected from Vireo.
Need this sorted this week.
Please revert,","Ticket raised for damaged in transit. Photos received, damage confirmed. Replacement raised, RMA shared w/ cx. //AIS",legacy_fd
TK-240006,2025-01-01 19:49,2025-01-01 19:49,2025-01-02 21:34,resolved,chat,C106302,VR883149,VA-SW-FIT,Warranty & Repair,Low,Escalations & Warranty,A3040,0,,,,N,Got my Nexa Fit band from Flipkart around Diwali. Screen is unresponsive. What do I do now? Please revert,issue: touch not responding | checked fw version -> hard reeset resolved (SOP 3.1),legacy_fd
TK-240008,2025-01-01 20:15,2025-01-01 20:48,2025-01-01 21:09,closed,voice,C107080,VR885250,VA-HP-ST3,App & Firmware,Low,Voice Frontline,A3026,0,,,,N,[IVR transcript] firmware update is stuck at 40% - what do i do now?,cx: update hng | chk fw 2.0.11 rollout -> recovery successful,helpdesk
TK-240008,2025-01-01 20:15,2025-01-01 20:48,2025-01-01 21:09,closed,voice,C107080,VR885250,VA-HP-ST3,App & Firmware,Low,Voice Frontline,A3026,0,,,,N,[IVR transcript] firmware update is stuck at 40% - what do i do now?,cx: update hng | chk fw 2.0.11 rollout -> recovery successful,legacy_fd
TK-240009,2025-01-01 20:48,2025-01-01 20:56,2025-01-01 21:10,resolved,chat,C100956,,VA-EB-PL1,Other,Normal,Chat Frontline,A3009,0,5,2124,CANCEL,N,"product: pulse 1
order: vr896352
purchased: 28/12
issue: please cancel, ordered by mistake
tried: tried cancel button, greyed out
expected: replacement","1. Order cancellation
2. Cancelled before dispatch
3. Full refund processed (2124) (SOP 4.2) //SUK",helpdesk
