ticket_id,source_system,raw_amount,canonical_amount,checks_run,checks_failed,failed_checks,row_correct,notes,chk_exists_in_raw,chk_duplicate_status_correct,chk_source_system_correct,chk_amount_correct,chk_raw_amount_preserved,chk_conversion_factor_correct,chk_month_correct,chk_reason_code_unchanged,chk_agent_id_correct,chk_agent_name_correct,chk_agent_team_correct,chk_replacement_flag_correct,chk_goodwill_cap_flag_correct,chk_open_flag_correct,chk_ai_did_not_alter_fact
TK-246146,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-240951,legacy_fd,449900,4499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244872,helpdesk,2124,2124.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-242100,legacy_fd,72000,720.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241119,legacy_fd,249900,2499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244111,legacy_fd,649900,6499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-249614,helpdesk,2468,2468.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-248810,helpdesk,6499,6499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244824,legacy_fd,349900,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-248358,helpdesk,3149,3149.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-248279,helpdesk,1799,1799.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241897,legacy_fd,224900,2249.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-249007,helpdesk,1999,1999.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-247289,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241876,legacy_fd,224900,2249.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-250375,helpdesk,2924,2924.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-254449,helpdesk,6499,6499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-245050,helpdesk,700,700.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-240737,helpdesk,1619,1619.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-254052,helpdesk,1299,1299.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-252794,helpdesk,1899,1899.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-245047,helpdesk,297,297.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-250866,helpdesk,2848,2848.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-247273,helpdesk,6499,6499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-251900,helpdesk,1999,1999.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-253756,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-253076,helpdesk,810,810.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-243380,legacy_fd,350000,3500.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-240895,legacy_fd,179900,1799.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-251151,helpdesk,3324,3324.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241468,helpdesk,2374,2374.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-246756,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-250860,helpdesk,332,332.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-254298,helpdesk,1299,1299.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-254506,helpdesk,425,425.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-252604,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-245204,helpdesk,5524,5524.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244687,legacy_fd,349900,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244386,legacy_fd,102000,1020.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241711,legacy_fd,629900,6299.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-243645,legacy_fd,664800,6648.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-253616,helpdesk,2499,2499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-248274,helpdesk,1299,1299.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-250056,helpdesk,2974,2974.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-249713,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244941,helpdesk,117,117.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244962,helpdesk,2124,2124.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-241053,legacy_fd,179900,1799.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-251380,helpdesk,3999,3999.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-243324,legacy_fd,552400,5524.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-252437,helpdesk,1234,1234.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-252097,helpdesk,3499,3499.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-247277,helpdesk,1000,1000.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244840,helpdesk,2974,2974.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-250559,helpdesk,306,306.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-243552,legacy_fd,152900,1529.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-240987,legacy_fd,129900,1299.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-244733,legacy_fd,60000,600.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-248103,helpdesk,630,630.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
TK-249706,helpdesk,1574,1574.0,15,0,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
